abbrev	abstractCompound	charge	creationDate	deltaG	deltaGErr	formula	id	mass	modificationDate	name	owner	pKa	pKb	public	scope	stringcode	structuralCues
L-Arabinono-1,5-lactone		0	1280902233	-177.8	1.11497	C5H8O5	cpd03201	148	1280902233	L-Arabinono-1,5-lactone	master	12.03:6|13.60:8|14.96:4	-3.37:8|-3.54:4|-4.08:6|-7.43:10	1		CH2(CH(OHCH(OHCH(OHC(OO{1})))))<1>	RWCHWW:3|PrimOH:3|RWOCOW:1|RWCH2W:1|Origin:1
Gulono-1,4-lactone		0	1280902233	-215.78	1.15083	C6H10O6	cpd03202	178	1280902233	Gulono-1,4-lactone	master	12.03:10|13.52:9|14.24:6|15.64:12	-2.90:12|-3.37:9|-3.55:6|-4.08:10|-7.45:11	1		CH(CH(OHCH2(OH))CH(OHCH(OHC(OO{1}))))<1>	RWCHWW:3|RWOCOW:1|WWCHW:1|PrimOH:4|WCH2W:1|Origin:1
L-Xylonate		-1	1280902233	-232.24	0.696223	C5H9O6	cpd03203	165	1280902233	L-Xylonate	master	3.39:9|13.02:6|13.89:8|14.95:4|15.89:11	-2.90:11|-3.37:8|-3.53:4|-4.08:6	1		CH(OHCH(OHCH2(OH))CH(OHC(OHO)))	WWCHW:3|PrimOH:4|WCOOn:1|WCH2W:1|Origin:1
L-Lyxonate		-1	1280902233	-232.24	0.696223	C5H9O6	cpd03204	165	1280902233	L-Lyxonate	master	3.39:9|13.02:6|13.89:8|14.95:4|15.89:11	-2.90:11|-3.37:8|-3.53:4|-4.08:6	1		CH(OHCH(OHCH2(OH))CH(OHC(OHO)))	WWCHW:3|PrimOH:4|WCOOn:1|WCH2W:1|Origin:1
Phytoene		0	1280902233	230.58	4.42042	C40H64	cpd03205	544	1280902233	Phytoene	master			1		(CH(CH(C(CH3CH2(CH2(CH(C(CH3CH2(CH2(CH(C(CH3CH2(CH2(CH(C(CH3CH3)))))))))))))))CH(CH(C(CH3CH2(CH2(CH(C(CH3CH2(CH2(CH(C(CH3CH2(CH2(CH(C(CH3CH3))))))))))))))))	WCH3:10|WdblCWW:8|WCHdblW:10|WCH2W:12|Origin:1|CCCC:2|Hydrocarbon:1
Phytofluene		0	1280902233	243.3	4.88718	C40H62	cpd03206	542	1280902233	Phytofluene	master			1		(CH(CH(C(CH3CH(CH(CH(C(CH3CH2(CH2(CH(C(CH3CH2(CH2(CH(C(CH3CH3)))))))))))))))CH(CH(C(CH3CH2(CH2(CH(C(CH3CH2(CH2(CH(C(CH3CH2(CH2(CH(C(CH3CH3))))))))))))))))	WCH3:10|WdblCWW:8|WCHdblW:12|WCH2W:10|Origin:1|CCCC:4|Hydrocarbon:1
5-Cholestene		0	1280902233	59.09	7.01866	C27H46	cpd03207	370	1280902233	5-Cholestene	master			1		CH2(CH2(CH(CH(CH3CH2(CH2(CH2(CH(CH3CH3)))))C(CH3CH2(CH2(CH(CH(CH2(CH(C(CH2(CH2(CH2(CH2(C(CH3){12,17})))))<17>))CH{1,14}))<12>)))<14>)))<1>	TWWCHW:3|RWCH2W:9|TWWCWW:2|RWCHdblW:1|RWCHWW:1|WCH3:5|TWWCdblW:1|WWCHW:2|WCH2W:3|Origin:1|Hydrocarbon:1
5,6beta-Epoxy-5beta-cholestane		0	1280902233	10000000	10000000	C27H46O	cpd03208	386	1280902233	5,6beta-Epoxy-5beta-cholestane	master		-3.29:4	1		CH2(CH2(CH(CH(CH3CH2(CH2(CH2(CH(CH3CH3)))))C(CH3CH2(CH2(CH(CH(CH2(CH(C(CH2(CH2(CH2(CH2(C(CH3){13,15}))))O{10})<15>)<10>)CH{1,16}))<13>)))<16>)))<1>	T3WWCWW:1|TWWCWW:2|TWWCHW:4|RWOW:1|RWCH2W:9|WCH3:5|RWCHWW:1|WWCHW:2|WCH2W:3|Origin:1|threemember:1
Cholesterol-5beta,6beta-epoxide		0	1280902233	10000000	10000000	C27H46O2	cpd03209	402	1280902233	Cholesterol-5beta,6beta-epoxide	master	15.19:14	-2.72:14|-3.29:4	1		CH2(CH2(CH(CH(CH3CH2(CH2(CH2(CH(CH3CH3)))))C(CH3CH2(CH2(CH(CH(CH2(CH(C(CH2(CH(OHCH2(CH2(C(CH3){12,15}))))O{9})<15>)<9>)CH{1,16}))<12>)))<16>)))<1>	T3WWCWW:1|TWWCWW:2|TWWCHW:4|RWOW:1|RWCH2W:8|WCH3:5|RWCHWW:2|PrimOH:1|WWCHW:2|WCH2W:3|Origin:1|threemember:1
Cholesterol-5alpha,6beta-epoxide		0	1280902233	10000000	10000000	C27H46O2	cpd03210	402	1280902233	Cholesterol-5alpha,6beta-epoxide	master	15.19:14	-2.72:14|-3.29:4	1		CH2(CH2(CH(CH(CH3CH2(CH2(CH2(CH(CH3CH3)))))C(CH3CH2(CH2(CH(CH(CH2(CH(C(CH2(CH(OHCH2(CH2(C(CH3){12,15}))))O{9})<15>)<9>)CH{1,16}))<12>)))<16>)))<1>	T3WWCWW:1|TWWCWW:2|TWWCHW:4|RWOW:1|RWCH2W:8|WCH3:5|RWCHWW:2|PrimOH:1|WWCHW:2|WCH2W:3|Origin:1|threemember:1
15-cis-Phytoene		0	1280902233	230.58	4.42042	C40H64	cpd03211	544	1280902233	15-cis-Phytoene	master			1		(CH(CH(C(CH3CH2(CH2(CH(C(CH3CH2(CH2(CH(C(CH3CH2(CH2(CH(C(CH3CH3)))))))))))))))CH(CH(C(CH3CH2(CH2(CH(C(CH3CH2(CH2(CH(C(CH3CH2(CH2(CH(C(CH3CH3))))))))))))))))	WCH3:10|WdblCWW:8|WCHdblW:10|WCH2W:12|Origin:1|CCCC:2|Hydrocarbon:1
3beta,5alpha,6beta-Cholestanetriol		0	1280902233	-91.64	9.64454	C27H48O3	cpd03213	420	1280902233	3beta,5alpha,6beta-Cholestanetriol	master	13.41:15|14.75:20|15.42:23	-2.72:23|-3.21:20|-3.44:15	1		CH2(CH2(CH(CH(CH3CH2(CH2(CH2(CH(CH3CH3)))))C(CH3CH2(CH2(CH(CH(CH2(CH(OHC(OHCH2(CH(OHCH2(CH2(C(CH3){11,17})))))<17>))CH{1,15}))<11>)))<15>)))<1>	TWWCHW:3|TWWCWW:3|RWCH2W:8|WCH3:5|RWCHWW:3|PrimOH:3|WWCHW:2|WCH2W:3|Origin:1
Phytyl diphosphate		-2	1280902233	-420.31	1.23796	C20H40O7P2	cpd03214	454	1280902233	Phytyl diphosphate	master	1.72:22|2.50:28|7.12:25		1		CH2(CH2(CH2(C(CH3CH(CH2(O(P(OHO(P(OHOHO))O)))))))CH(CH3CH2(CH2(CH2(CH(CH3CH2(CH2(CH2(CH(CH3CH3))))))))))	WCH3:5|WWCHW:3|WCH2W:10|WdblCWW:1|WCHdblW:1|mid_phos:1|prim_phos:1|Origin:1
zeta-Carotene		0	1280902233	256.02	5.49213	C40H60	cpd03215	540	1280902233	zeta-Carotene	master			1		(CH(CH(C(CH3CH(CH(CH(C(CH3CH2(CH2(CH(C(CH3CH2(CH2(CH(C(CH3CH3)))))))))))))))CH(CH(C(CH3CH(CH(CH(C(CH3CH2(CH2(CH(C(CH3CH2(CH2(CH(C(CH3CH3))))))))))))))))	WCH3:10|WdblCWW:8|WCHdblW:14|WCH2W:8|Origin:1|CCCC:6|Hydrocarbon:1
Neurosporene		0	1280902233	268.74	6.19494	C40H58	cpd03216	538	1280902233	Neurosporene	master			1		(CH(CH(C(CH3CH(CH(CH(C(CH3CH(CH(CH(C(CH3CH2(CH2(CH(C(CH3CH3)))))))))))))))CH(CH(C(CH3CH(CH(CH(C(CH3CH2(CH2(CH(C(CH3CH2(CH2(CH(C(CH3CH3))))))))))))))))	WCH3:10|WdblCWW:8|WCHdblW:16|WCH2W:6|Origin:1|CCCC:8|Hydrocarbon:1
Lycopene		0	1280902233	281.46	6.96603	C40H56	cpd03217	536	1280902233	Lycopene	master			1		(CH(CH(C(CH3CH(CH(CH(C(CH3CH(CH(CH(C(CH3CH2(CH2(CH(C(CH3CH3)))))))))))))))CH(CH(C(CH3CH(CH(CH(C(CH3CH(CH(CH(C(CH3CH2(CH2(CH(C(CH3CH3))))))))))))))))	WCH3:10|WdblCWW:8|WCHdblW:18|WCH2W:4|Origin:1|CCCC:10|Hydrocarbon:1
alpha-Carotene		0	1280902233	244.44	5.80188	C40H56	cpd03218	536	1280902233	alpha-Carotene	master			1		CH2(CH2(C(CH3CH3C(CH(CH(C(CH3CH(CH(CH(C(CH3CH(CH(CH(CH(C(CH3CH(CH(CH(C(CH3CH(CH(CH(C(CH3CH3CH2(CH2(CH(C(CH3){6})))))<6>))))))))))))))))))C(CH3CH2{1})))))<1>	RWCH2W:5|RWCHdblW:1|RWCdblWW:3|RWCHWW:1|RWWCWW:2|WCHdblW:14|WdblCWW:4|WCH3:10|Origin:1|CCCC:9|Hydrocarbon:1
beta-Zeacarotene		0	1280902233	248.61	5.62248	C40H58	cpd03219	538	1280902233	beta-Zeacarotene	master			1		CH2(CH2(C(CH3CH3C(CH(CH(C(CH3CH(CH(CH(C(CH3CH(CH(CH(CH(C(CH3CH(CH(CH(C(CH3CH2(CH2(CH(C(CH3CH2(CH2(CH(C(CH3CH3))))))))))))))))))))))))C(CH3CH2{1})))))<1>	RWCdblWW:2|WCHdblW:14|WdblCWW:6|WCH2W:4|WCH3:10|RWWCWW:1|RWCH2W:3|Origin:1|CCCC:8|Hydrocarbon:1
gamma-Carotene		0	1280902233	261.33	6.43069	C40H56	cpd03220	536	1280902233	gamma-Carotene	master			1		CH2(CH2(C(CH3CH3C(CH(CH(C(CH3CH(CH(CH(C(CH3CH(CH(CH(CH(C(CH3CH(CH(CH(C(CH3CH(CH(CH(C(CH3CH2(CH2(CH(C(CH3CH3))))))))))))))))))))))))C(CH3CH2{1})))))<1>	RWCdblWW:2|WCHdblW:16|WdblCWW:6|WCH2W:2|WCH3:10|RWWCWW:1|RWCH2W:3|Origin:1|CCCC:10|Hydrocarbon:1
zymst		0	1280902233	46.19	6.93079	C27H44O	cpd03221	384	1280902233	Zymosterol	master	18.36:25	-1.33:25	1		CH2(CH2(CH(CH(CH3CH2(CH2(CH(C(CH3CH3)))))C(CH3CH2(CH2(C(C(CH3CH2(CH2(CH(OHCH2(CH(CH2(CH2(C(CH{1,14}){17}))){15})))))<15>)<17>)))<14>)))<1>	TWWCHW:2|TWWCdblW:2|TWWCWW:2|RWCH2W:9|RWCHWW:2|WCH3:5|WWCHW:1|WCH2W:2|WCHdblW:1|PrimOH:1|WdblCWW:1|Origin:1
5alpha-Cholesta-7,24-dien-3beta-ol		0	1280902233	37.37	6.9092	C27H44O	cpd03222	384	1280902233	5alpha-Cholesta-7,24-dien-3beta-ol	master	18.36:25	-1.33:25	1		CH2(CH2(CH(CH(CH3CH2(CH2(CH(C(CH3CH3)))))C(CH3CH2(CH2(CH(C(CH3CH2(CH2(CH(OHCH2(CH(CH2(CH(C(CH{1,14}){11}))){15})))))<15>)<11>)))<14>)))<1>	TWWCHW:3|TWWCdblW:1|TWWCWW:2|RWCH2W:8|RWCHdblW:1|RWCHWW:2|WCH3:5|WWCHW:1|WCH2W:2|WCHdblW:1|PrimOH:1|WdblCWW:1|Origin:1
ergtetrol		0	1280902233	68.62	6.88778	C28H42O	cpd03223	394	1280902233	5,7,22,24(28)-Ergostatetraenol	master	18.27:21	-1.37:21	1		CH2(CH2(CH(CH(CH3CH(CH(C(CH2CH(CH3CH3)))))C(CH3CH2(CH2(CH(C(CH3CH2(CH2(CH(OHCH2(C(CH(CH(C(CH{1,12}){9}))){13})))))<13>)<9>)))<12>)))<1>	TWWCHW:2|TWWCdblW:2|TWWCWW:2|RWCH2W:7|RWCHdblW:2|RWCHWW:2|WCH3:5|WWCHW:2|PrimOH:1|WCHdblW:2|WdblCWW:1|WdblCH2:1|Origin:1|CCCC:2
Vitamin D2		0	1280902233	134.05	7.57334	C28H44O	cpd03224	396	1280902233	Vitamin D2	master	18.38:29	-1.32:29	1		CH2(CH2(CH(CH(CH3CH(CH(CH(CH3CH(CH3CH3)))))C(CH3CH2(CH2(CH2(C(CH{1,12}CH(CH(C(CH2(CH(OHCH2(CH2(C(CH2){16})))))<16>)))))))<12>)))<1>	TWWCWW:1|TWWCHW:1|RWCHWW:2|RWCH2W:8|WCH3:5|RdblWCWW:3|WWCHW:3|WCHdblW:4|WdblCH2:1|PrimOH:1|Origin:1|CCCC:2
Stigmasterol		0	1280902233	39.36	6.93198	C29H48O	cpd03225	412	1280902233	Stigmasterol	master	18.20:25	-1.40:25	1		CH2(CH2(CH(CH(CH3CH(CH(CH(CH2(CH3)CH(CH3CH3)))))C(CH3CH2(CH2(CH(CH(CH2(CH(C(CH2(CH(OHCH2(CH2(C(CH3){11,17})))))<17>))CH{1,14}))<11>)))<14>)))<1>	TWWCHW:3|TWWCWW:2|RWCH2W:8|RWCHWW:2|WCH3:6|RWCHdblW:1|WWCHW:3|TWWCdblW:1|WCHdblW:2|PrimOH:1|WCH2W:1|Origin:1
Vitamin D3		0	1280902233	111.88	7.51653	C27H44O	cpd03226	384	1280902233	Vitamin D3	master	18.38:28	-1.32:28	1		CH2(CH2(CH(CH(CH3CH2(CH2(CH2(CH(CH3CH3)))))C(CH3CH2(CH2(CH2(C(CH{1,12}CH(CH(C(CH2(CH(OHCH2(CH2(C(CH2){16})))))<16>)))))))<12>)))<1>	TWWCWW:1|TWWCHW:1|RWCHWW:2|RWCH2W:8|WCH3:4|RdblWCWW:3|WWCHW:2|WCHdblW:2|WCH2W:3|WdblCH2:1|PrimOH:1|Origin:1|CCCC:2
5beta-Cholestane-3alpha,7alpha,26-triol		0	1280902233	-79.88	7.16292	C27H48O3	cpd03227	420	1280902233	5beta-Cholestane-3alpha,7alpha,26-triol	master	17.42:30|18.30:26	-0.51:14|-1.28:26|-1.91:30	1		CH2(CH2(CH(CH(CH3CH2(CH2(CH2(CH(CH3CH2(OH))))))C(CH3CH2(CH2(CH(CH(CH{1,16}CH(OHCH2(CH(CH2(CH(OHCH2(CH2(C(CH3){10,11})))))<10>))))<11>)))<16>)))<1>	TWWCHW:4|TWWCWW:2|RWCH2W:8|RWCHWW:3|WCH3:4|PrimOH:3|WWCHW:2|WCH2W:4|Origin:1
3alpha,7alpha-Dihydroxy-5beta-cholestan-26-al		0	1280902233	-70.4	7.15549	C27H46O3	cpd03228	418	1280902233	3alpha,7alpha-Dihydroxy-5beta-cholestan-26-al	master	16.07:27|18.30:26	-0.54:14|-1.43:26|-7.01:30	1		CH2(CH2(CH(CH(CH3CH2(CH2(CH2(CH(CH3CH(O))))))C(CH3CH2(CH2(CH(CH(CH{1,16}CH(OHCH2(CH(CH2(CH(OHCH2(CH2(C(CH3){10,11})))))<10>))))<11>)))<16>)))<1>	TWWCHW:4|TWWCWW:2|RWCH2W:8|RWCHWW:3|WCH3:4|PrimOH:2|WWCHW:2|WCH2W:3|WCHdblO:1|Origin:1
5beta-Cholestane-3alpha,7alpha,12alpha,26-tetrol		0	1280902233	-119.72	7.12952	C27H48O4	cpd03229	436	1280902233	5beta-Cholestane-3alpha,7alpha,12alpha,26-tetrol	master	17.42:31|18.30:25	-0.15:30|-0.70:29|-1.32:25|-1.93:31	1		CH2(CH2(CH(CH(CH3CH2(CH2(CH2(CH(CH3CH2(OH))))))C(CH3CH(CH(CH(CH2(CH(OH){16})C(CH3CH2(CH2(CH(OHCH2(CH(CH2(CH(OH){11})){17})))))<17>))<11>){1})<16>)))<1>	TWWCHW:4|TWWCWW:2|RWCH2W:7|RWCHWW:4|WCH3:4|WWCHW:2|WCH2W:4|PrimOH:4|Origin:1
3alpha,7alpha-Dihydroxy-5beta-cholest-24-enoyl-CoA		-3	1280902233	-801.93	8.08938	C48H75N7O19P3S	cpd03230	1178	1280902233	3alpha,7alpha-Dihydroxy-5beta-cholest-24-enoyl-CoA	master	1.46:67|2.01:55|2.62:51|6.72:68|12.78:44	3.94:77|-3.48:74|-3.77:44|-9.18:73	1		CH2(CH2(CH(C(CH3C(OS(CH2(CH2(NH(C(OCH2(CH2(NH(C(OCH(OHC(CH3CH3CH2(O(P(OHOO(P(OHOO(CH2(CH(CH(O(P(OHOHO))CH(OHCH(N(CH(N(C(C(N(CH(N(C(NH2){36})))){45})<36>)))<45>O{17}))))<17>))))))))))))))))))))))CH(CH3CH(CH2(CH2(CH(CH(CH(CH2(CH2(C(CH3){18,19}))C(CH3CH2(CH2(CH(OHCH2(CH(CH2(CH(OH){23})){31})))))<31>))<23>)<18>)))<19>))	TWWCHW:4|TWWCWW:2|RWCH2W:8|RWCHWW:7|WCH3:6|PrimOH:4|WWCHW:2|WCH2W:8|WCHdblW:1|WdblCWW:1|WketoneW:3|WWCWW:1|WPO4nW:1|mid_phos:1|RWOW:1|prim_phos:1|RWWNW:1|TWWCdblW:2|RWCHdblW:2|RWdblNW:3|RWCdblWW:1|WNH2:1|WSW:1|smide:1|amide:2|WNHW:2|Origin:1|OCCC:1|HeteroAromatic:2
3alpha,7alpha,24-Trihydroxy-5beta-cholestanoyl-CoA		-3	1280902233	-860.22	8.09879	C48H77N7O20P3S	cpd03231	1196	1280902233	3alpha,7alpha,24-Trihydroxy-5beta-cholestanoyl-CoA	master	1.46:68|2.01:56|2.62:52|6.72:69|12.78:45	3.94:78|-3.48:75|-3.77:45|-9.18:74	1		CH2(CH2(CH(OHCH(CH3C(OS(CH2(CH2(NH(C(OCH2(CH2(NH(C(OCH(OHC(CH3CH3CH2(O(P(OHOO(P(OHOO(CH2(CH(CH(O(P(OHOHO))CH(OHCH(N(CH(N(C(C(N(CH(N(C(NH2){37})))){45})<37>)))<45>O{17}))))<17>))))))))))))))))))))))CH(CH3CH(CH2(CH2(CH(CH(CH(CH2(CH2(C(CH3){18,19}))C(CH3CH2(CH2(CH(OHCH2(CH(CH2(CH(OH){23})){33})))))<33>))<23>)<18>)))<19>))	TWWCHW:4|TWWCWW:2|RWCH2W:8|RWCHWW:7|WCH3:6|PrimOH:5|WWCHW:4|WCH2W:8|WketoneW:3|WWCWW:1|WPO4nW:1|mid_phos:1|RWOW:1|prim_phos:1|RWWNW:1|TWWCdblW:2|RWCHdblW:2|RWdblNW:3|RWCdblWW:1|WNH2:1|WSW:1|smide:1|amide:2|WNHW:2|Origin:1|HeteroAromatic:2
3alpha,7alpha-Dihydroxy-5beta-24-oxocholestanoyl-CoA		-3	1280902233	-852.2	8.09386	C48H75N7O20P3S	cpd03232	1194	1280902233	3alpha,7alpha-Dihydroxy-5beta-24-oxocholestanoyl-CoA	master	1.46:68|2.01:56|2.62:52|6.72:69|12.43:27	3.94:78|-3.48:75|-9.18:74	1		CH2(CH2(C(OCH(CH3C(OS(CH2(CH2(NH(C(OCH2(CH2(NH(C(OCH(OHC(CH3CH3CH2(O(P(OHOO(P(OHOO(CH2(CH(CH(O(P(OHOHO))CH(OHCH(N(CH(N(C(C(N(CH(N(C(NH2){36})))){45})<36>)))<45>O{17}))))<17>))))))))))))))))))))))CH(CH3CH(CH2(CH2(CH(CH(CH(CH2(CH2(C(CH3){18,19}))C(CH3CH2(CH2(CH(OHCH2(CH(CH2(CH(OH){23})){32})))))<32>))<23>)<18>)))<19>))	TWWCHW:4|TWWCWW:2|RWCH2W:8|RWCHWW:7|WCH3:6|PrimOH:4|WWCHW:3|WCH2W:8|WketoneW:4|WWCWW:1|WPO4nW:1|mid_phos:1|RWOW:1|prim_phos:1|RWWNW:1|TWWCdblW:2|RWCHdblW:2|RWdblNW:3|RWCdblWW:1|WNH2:1|WSW:1|smide:1|amide:2|WNHW:2|Origin:1|HeteroAromatic:2
3alpha,7alpha,12alpha,24-Tetrahydroxy-5beta-cholestanoyl-CoA		-3	1280902233	-900.06	8.09628	C48H77N7O21P3S	cpd03233	1212	1280902233	3alpha,7alpha,12alpha,24-Tetrahydroxy-5beta-cholestanoyl-CoA	master	1.46:68|2.01:56|2.62:52|6.72:69|12.78:45	3.94:78|-3.48:75|-3.77:45|-9.18:74	1		CH2(CH2(CH(OHCH(CH3C(OS(CH2(CH2(NH(C(OCH2(CH2(NH(C(OCH(OHC(CH3CH3CH2(O(P(OHOO(P(OHOO(CH2(CH(CH(O(P(OHOHO))CH(OHCH(N(CH(N(C(C(N(CH(N(C(NH2){37})))){45})<37>)))<45>O{16}))))<16>))))))))))))))))))))))CH(CH3CH(CH2(CH2(CH(CH(CH(CH2(CH(OHC(CH3){17,18}))C(CH3CH2(CH2(CH(OHCH2(CH(CH2(CH(OH){22})){33})))))<33>))<22>)<17>)))<18>))	TWWCHW:4|TWWCWW:2|RWCH2W:7|RWCHWW:8|WCH3:6|PrimOH:6|WWCHW:4|WCH2W:8|WketoneW:3|WWCWW:1|WPO4nW:1|mid_phos:1|RWOW:1|prim_phos:1|RWWNW:1|TWWCdblW:2|RWCHdblW:2|RWdblNW:3|RWCdblWW:1|WNH2:1|WSW:1|smide:1|amide:2|WNHW:2|Origin:1|HeteroAromatic:2
7alpha-Hydroxy-5beta-cholestan-3-one		0	1280902233	-37.09	7.14741	C27H46O2	cpd03234	402	1280902233	7alpha-Hydroxy-5beta-cholestan-3-one	master	19.99:22	-0.58:14|-7.35:26	1		CH2(CH2(CH(CH(CH3CH2(CH2(CH2(CH(CH3CH3)))))C(CH3CH2(CH2(CH(CH(CH{1,15}CH(OHCH2(CH(CH2(C(OCH2(CH2(C(CH3){10,11})))))<10>))))<11>)))<15>)))<1>	TWWCHW:4|TWWCWW:2|RWCH2W:8|RWCHWW:2|WCH3:5|PrimOH:1|WWCHW:2|WCH2W:3|RWWCdblO:1|Origin:1
5beta-Cholestane-3alpha,7alpha-diol		0	1280902233	-43.65	7.16108	C27H48O2	cpd03235	404	1280902233	5beta-Cholestane-3alpha,7alpha-diol	master	18.30:25	-0.54:29|-1.43:25	1		CH2(CH2(CH(CH(CH3CH2(CH2(CH2(CH(CH3CH3)))))C(CH3CH2(CH2(CH(CH(CH{1,16}CH(OHCH2(CH(CH2(CH(OHCH2(CH2(C(CH3){10,11})))))<10>))))<11>)))<16>)))<1>	TWWCHW:4|TWWCWW:2|RWCH2W:8|RWCHWW:3|WCH3:5|WWCHW:2|WCH2W:3|PrimOH:2|Origin:1
7alpha,12alpha-Dihydroxy-5beta-cholestan-3-one		0	1280902233	-76.93	7.1029	C27H46O3	cpd03236	418	1280902233	7alpha,12alpha-Dihydroxy-5beta-cholestan-3-one	master	19.99:21	-0.18:19|-0.80:10|-7.35:26	1		CH2(CH2(CH(CH(CH3CH2(CH2(CH2(CH(CH3CH3)))))C(CH3CH(CH(CH(CH2(CH(OH){15})C(CH3CH2(CH2(C(OCH2(CH(CH2(CH(OH){11})){16})))))<16>))<11>){1})<15>)))<1>	TWWCHW:4|RWCHWW:3|TWWCWW:2|RWCH2W:7|PrimOH:2|WCH3:5|WWCHW:2|WCH2W:3|RWWCdblO:1|Origin:1
3alpha,7alpha,12alpha-Trihydroxycoprostane		0	1280902233	-83.49	7.12544	C27H48O3	cpd03237	420	1280902233	3alpha,7alpha,12alpha-Trihydroxycoprostane	master	18.30:25	-0.16:30|-0.73:29|-1.47:25	1		CH2(CH2(CH(CH(CH3CH2(CH2(CH2(CH(CH3CH3)))))C(CH3CH(CH(CH(CH2(CH(OH){16})C(CH3CH2(CH2(CH(OHCH2(CH(CH2(CH(OH){11})){17})))))<17>))<11>){1})<16>)))<1>	TWWCHW:4|TWWCWW:2|RWCH2W:7|RWCHWW:4|WCH3:5|WWCHW:2|WCH2W:3|PrimOH:3|Origin:1
7alpha-Hydroxycholest-4-en-3-one		0	1280902233	-19.26	6.84542	C27H44O2	cpd03238	400	1280902233	7alpha-Hydroxycholest-4-en-3-one	master	19.81:21|19.95:14	-0.64:14|-5.15:23	1		CH2(CH2(CH(CH(CH3CH2(CH2(CH2(CH(CH3CH3)))))C(CH3CH2(CH2(CH(CH(CH{1,13}CH(OHCH2(C(C(CH3CH2(CH2(C(OCH{16})))){9})<16>))))<9>)))<13>)))<1>	TWWCHW:3|TWWCWW:2|RWCH2W:7|RWCHWW:2|WCH3:5|PrimOH:1|WWCHW:2|TWWCdblW:1|RWCHdblW:1|RWWCdblO:1|WCH2W:3|Origin:1|OCCC:1
7alpha,12alpha-Dihydroxycholest-4-en-3-one		0	1280902234	-59.1	6.8079	C27H44O3	cpd03239	416	1280902234	7alpha,12alpha-Dihydroxycholest-4-en-3-one	master	19.81:21|19.95:10	-0.18:19|-0.82:10|-5.15:26	1		CH2(CH2(CH(CH(CH3CH2(CH2(CH2(CH(CH3CH3)))))C(CH3CH(CH(CH(CH2(CH(OH){13})C(CH3CH2(CH2(C(OCH(C(CH2(CH(OH){9})){14})))))<14>))<9>){1})<13>)))<1>	TWWCHW:3|RWCHWW:3|TWWCWW:2|RWCH2W:6|PrimOH:2|WCH3:5|TWWCdblW:1|WWCHW:2|RWCHdblW:1|WCH2W:3|RWWCdblO:1|Origin:1|OCCC:1
7alpha,12alpha-Dihydroxy-5alpha-cholestan-3-one		0	1280902234	-76.93	7.1029	C27H46O3	cpd03240	418	1280902234	7alpha,12alpha-Dihydroxy-5alpha-cholestan-3-one	master	19.99:21	-0.18:19|-0.80:10|-7.35:26	1		CH2(CH2(CH(CH(CH3CH2(CH2(CH2(CH(CH3CH3)))))C(CH3CH(CH(CH(CH2(CH(OH){15})C(CH3CH2(CH2(C(OCH2(CH(CH2(CH(OH){11})){16})))))<16>))<11>){1})<15>)))<1>	TWWCHW:4|RWCHWW:3|TWWCWW:2|RWCH2W:7|PrimOH:2|WCH3:5|WWCHW:2|WCH2W:3|RWWCdblO:1|Origin:1
3alpha,7alpha,12alpha-Trihydroxy-5beta-cholest-24-enoyl-CoA		-3	1280902234	-841.77	8.0849	C48H75N7O20P3S	cpd03241	1194	1280902234	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholest-24-enoyl-CoA	master	1.46:67|2.01:55|2.62:51|6.72:68|12.78:44	3.94:77|-3.48:74|-3.77:44|-9.18:73	1		CH2(CH2(CH(C(CH3C(OS(CH2(CH2(NH(C(OCH2(CH2(NH(C(OCH(OHC(CH3CH3CH2(O(P(OHOO(P(OHOO(CH2(CH(CH(O(P(OHOHO))CH(OHCH(N(CH(N(C(C(N(CH(N(C(NH2){36})))){45})<36>)))<45>O{16}))))<16>))))))))))))))))))))))CH(CH3CH(CH2(CH2(CH(CH(CH(CH2(CH(OHC(CH3){17,18}))C(CH3CH2(CH2(CH(OHCH2(CH(CH2(CH(OH){22})){31})))))<31>))<22>)<17>)))<18>))	TWWCHW:4|TWWCWW:2|RWCH2W:7|RWCHWW:8|WCH3:6|PrimOH:5|WWCHW:2|WCH2W:8|WCHdblW:1|WdblCWW:1|WketoneW:3|WWCWW:1|WPO4nW:1|mid_phos:1|RWOW:1|prim_phos:1|RWWNW:1|TWWCdblW:2|RWCHdblW:2|RWdblNW:3|RWCdblWW:1|WNH2:1|WSW:1|smide:1|amide:2|WNHW:2|Origin:1|OCCC:1|HeteroAromatic:2
