abbrev	abstractCompound	charge	creationDate	deltaG	deltaGErr	formula	id	mass	modificationDate	name	owner	pKa	pKb	public	scope	stringcode	structuralCues
cll_95		0	1280902482	-84.87	0.446773	C6H13NO2	cpd15139	131	1280902482	Isoleucine	master			1		(CH(CH3CH2(CH3))CH(NH2C(OHO)))	WWCHW:2|WCOOn:1|WNH3:1|WCH2W:1|WCH3:2|Origin:1
cll_484		-1	1280902482	-62.54	0.943971	C5H8NO2	cpd15140	114	1280902482	Proline	master			1		CH2(CH2(CH(C(OHO)NH(CH2{1}))))<1>	RWCHWW:1|WCOOn:1|RWCH2W:3|RWNHW:1|Origin:1
cll_96		0	1280902482	-86.49	0.43806	C5H11NO2	cpd15141	117	1280902482	Valine	master			1		CH(NH2CH(CH3CH3)C(OHO))	WWCHW:2|WCOOn:1|WNH3:1|WCH3:2|Origin:1
cll_443		0	1280902482	-123.31	0.587299	C4H8N2O3	cpd15142	132	1280902482	Asparagine	master			1		(CH(NH2C(OHO))CH2(C(ONH2)))	WWCHW:1|WCH2W:1|WCOOn:1|WNH3:1|WketoneW:1|amide:1|WNH2:1|Origin:1
cll_94		0	1280902482	-84.87	0.446773	C6H13NO2	cpd15143	131	1280902482	Leucine	master			1		(CH(NH2C(OHO))CH2(CH(CH3CH3)))	WWCHW:2|WCH2W:1|WCOOn:1|WNH3:1|WCH3:2|Origin:1
cis-Zeatin riboside monophosphate		-1	1280902482	-262.8	3.11826	C15H21N5O8P	cpd15145	430	1280902482	cis-Zeatin riboside monophosphate	master			1		CH(CH(OHCH(OHCH(CH2(O(P(OHOHO)))O{1})))N(CH(N(C(C(N(CH(N(C(NH(CH2(CH(C(CH3CH2(OH)))))){7})))){10})<7>)))<10>)<1>	RWOW:1|RWCHWW:4|RWdblNW:3|RWCHdblW:2|TWWCdblW:2|RWCdblWW:1|RWWNW:1|WNHW:1|WCH2W:3|WCHdblW:1|WdblCWW:1|WCH3:1|PrimOH:3|prim_phos:1|Origin:1|HeteroAromatic:2
Asbestos		10000000	1280902482	10000000	10000000		cpd15146	0	1280902482	Asbestos	master			1			
trans-Zeatin-7-beta-D-glucoside		0	1280902482	-86.96	3.22059	C16H23N5O6	cpd15147	381	1280902482	trans-Zeatin-7-beta-D-glucoside	master			1		CH(CH(OHCH(OHCH(OHCH(CH2(OH)O{1}))))N(CH(N(C(C(C(NH(CH2(CH(C(CH3CH2(OH)))))N(CH(N{9})))){11})<9>)))<11>)<1>	RWCHWW:5|RWOW:1|PrimOH:5|WCH2W:3|RWdblNW:3|RWCHdblW:2|TWWCdblW:2|RWCdblWW:1|RWWNW:1|WNHW:1|WCHdblW:1|WdblCWW:1|WCH3:1|Origin:1|HeteroAromatic:2
Benzidine		0	1280902482	71.32	1.81556	C12H12N2	cpd15148	184	1280902482	Benzidine	master			1		CH(CH(C(NH2CH(CH(C(C(CH(CH(C(NH2CH(CH{10})))))<10>){1})))))<1>	BWCHdblW:8|BWWCdblW:4|WNH2:2|Origin:1
Dihydrozeatin riboside monophosphate		-1	1280902482	-284.6	3.09631	C15H23N5O8P	cpd15149	432	1280902482	Dihydrozeatin riboside monophosphate	master			1		CH(CH(OHCH(OHCH(CH2(O(P(OHOHO)))O{1})))N(CH(N(C(C(N(CH(N(C(NH(CH2(CH2(CH(CH3CH2(OH)))))){7})))){10})<7>)))<10>)<1>	RWWNW:1|TWWCdblW:2|RWCHWW:4|RWCHdblW:2|RWdblNW:3|RWOW:1|RWCdblWW:1|PrimOH:3|WNHW:1|WCH2W:4|prim_phos:1|WWCHW:1|WCH3:1|Origin:1|HeteroAromatic:2
