abbrev	abstractReaction	code	creationDate	definition	deltaG	deltaGErr	enzyme	equation	id	modificationDate	name	owner	public	reversibility	scope	status	structuralCues	thermoReversibility	transportedAtoms
rxn04099		cpd00532 + cpd06139 <=> cpd08488	1281967907	O2- + Tabersonine => H+ + Horhammericine	-85.4097	2.51296		cpd00532 + cpd06139 <=> cpd00067 + cpd08488	rxn04099	1281967907	rxn04099	master	1	=>		CI:1	|O2:-1|RWCHdblW:-2|WCH2W:-1|H:1|TWWCHW:2|WWCHW:1|RWOW:1|PrimOH:1|threemember:1	=>	
rxn04098		cpd08487 <=> cpd08488	1281967907	Lochnericine <=> Horhammericine	-38.04	0.216781		cpd08487 <=> cpd08488	rxn04098	1281967907	rxn04098	master	1	=>		MI:O1	|WCH2W:-1|WWCHW:1|PrimOH:1	=>	
rxn04097		cpd00005 + cpd00007 + cpd06139 <=> cpd00001 + cpd00006 + cpd08487	1281967907	TPNH + O2 + H+ + Tabersonine <=> H2O + TPN + Lochnericine	-90.2667	2.69604		cpd00005 + cpd00007 + cpd00067 + cpd06139 <=> cpd00001 + cpd00006 + cpd08487	rxn04097	1281967907	rxn04097	master	1	=>		OK	|RWWNW:-1|RWOW:1|RWCHdblW:-1|RWCH2W:-1|HeteroAromatic:1|O2:-1|H:-1|H2O:1|WRdNWRW:1|TWWCHW:2|threemember:1	=>	
HMSH2		cpd00001 + cpd04139 <=> cpd00047 + cpd08209	1281967907	H2O + 2-Hydroxy-5-methyl-cis,cis-muconic semialdehyde <=> FORM + H+ + 2-Hydroxy-cis-hex-2,4-dienoate	-7.693	0.893474	|3.7.1.9	cpd00001 + cpd04139 <=> cpd00047 + cpd00067 + cpd08209	rxn04096	1281967907	2-Hydroxy-5-methyl-cis,cis-muconic-semialdehyde formylhydrolase	master	1	=>		OK	|H2O:-1|WCHdblW:1|WdblCWW:-1|WCHdblO:-1|OCCC:-1|formate:1|H:1	=>	
OP4ENH2		cpd00001 + cpd08209 <=> cpd04141	1281967907	H2O + 2-Hydroxy-cis-hex-2,4-dienoate <=> 4-Hydroxy-2-oxohexanoate	-8.663	1.13385	|4.2.1.80	cpd00001 + cpd08209 <=> cpd04141	rxn04095	1281967907	4-Hydroxy-2-oxohexanoate hydro-lyase	master	1	=>		OK	|H2O:-1|WCHdblW:-3|WdblCWW:-1|OCCC:-1|CCCC:-1|WCH2W:2|WketoneW:1|WWCHW:1|OCCO:1	=>	
N-ethylglycine:oxygen oxidoreductase (deaminating)		cpd00001 + cpd00007 + cpd08544 <=> cpd00025 + cpd00040 + cpd00591	1281967907	H2O + O2 + N-Ethylglycine <=> H2O2 + Glyoxylate + Ethylamine	-21.0427	1.29093	|1.4.3.19	cpd00001 + cpd00007 + cpd08544 <=> cpd00025 + cpd00040 + cpd00591	rxn04094	1281967907	N-ethylglycine:oxygen oxidoreductase (deaminating)	master	1	=>		OK	|H2O:-1|O2:-1|WCH2W:-1|WNH2W:-1|Origin:1|H2O2:1|WCHdblO:1|OCCO:1|WNH3:1	=>	
GLYOS		cpd00001 + cpd00007 + cpd00183 <=> cpd00025 + cpd00040 + cpd00187	1281967907	H2O + O2 + Sarcosine <=> H2O2 + Glyoxylate + Methylamine	-20.6927	1.37476	|1.4.3.19	cpd00001 + cpd00007 + cpd00183 <=> cpd00025 + cpd00040 + cpd00187	rxn04093	1281967907	sarcosine:oxygen oxidoreductase (deaminating)	master	1	=>		OK	|H2O:-1|O2:-1|WCH2W:-1|WNH2W:-1|WCH3:-1|H2O2:1|WCHdblO:1|OCCO:1|methylamine:1	=>	
DAMOX_ALA		cpd00001 + cpd00007 + cpd00117 <=> cpd00013 + cpd00020 + cpd00025	1281967907	H2O + O2 + D-Ala <=> NH3 + Pyruvate + H2O2	-23.0227	1.06194	|1.4.3.3|1.4.3.19	cpd00001 + cpd00007 + cpd00117 <=> cpd00013 + cpd00020 + cpd00025	rxn04092	1281967907	D-alanine:oxygen oxidoreductase (deaminating)	master	1	=>		OK	|H2O:-1|O2:-1|WWCHW:-1|WNH3:-1|NH4plus:1|WketoneW:1|OCCO:1|H2O2:1	=>	
rxn04090		cpd00001 + cpd08452 <=> cpd04440	1281967907	H2O + 3',4'-Anhydrovinblastine => Vinblastine	10000000	10000000		cpd00001 + cpd08452 <=> cpd04440	rxn04090	1281967907	rxn04090	master	1	<=>		OK		<=>	
rxn04091		cpd04440 <=> cpd04442	1281967907	Vinblastine <=> Vincristine	10000000	10000000		cpd04440 <=> cpd04442	rxn04091	1281967907	rxn04091	master	1	<=>		MI:O1|HI:2		<=>	
rxn04089		cpd01143 + cpd06003 <=> cpd08452	1281967907	Vindoline + Catharanthine <=> 3',4'-Anhydrovinblastine	10000000	10000000		cpd01143 + cpd06003 <=> cpd08452	rxn04089	1281967907	rxn04089	master	1	<=>		OK		<=>	
(4b-hydroxylating)		cpd00007 + cpd00024 + cpd01736 <=> cpd00011 + cpd00036 + cpd00799	1281967907	O2 + 2-Oxoglutarate + Deacetoxyvindoline <=> CO2 + Succinate + Deacetylvindoline	-110.08	0.830319	|1.14.11.20	cpd00007 + cpd00024 + cpd01736 <=> cpd00011 + cpd00036 + cpd00799	rxn04088	1281967907	desacetoxyvindoline,2-oxoglutarate:oxygen oxidoreductase	master	1	=>		OK	|O2:-1|WketoneW:-1|OCCO:-1|RWCH2W:-1|PrimOH:1|CO2:1|RWCHWW:1	=>	
rxn04087		cpd00001 + cpd08486 <=> cpd02787	1281967907	H2O + 16-Methoxytabersonine <=> 16-Methoxy-2,3-dihydro-3-hydroxytabersonine	-1.893	1.42536		cpd00001 + cpd08486 <=> cpd02787	rxn04087	1281967907	rxn04087	master	1	<=>		OK	|H2O:-1|TWWCdblW:-1|RWCdblWW:-1|OCCC:-1|TWWCHW:1|RWWCWW:1|PrimOH:1	<=>	
rxn04085		cpd08502 <=> cpd00001 + cpd06003	1281967907	Stemmadenine => H2O + Catharanthine	10000000	10000000		cpd08502 <=> cpd00001 + cpd06003	rxn04085	1281967907	rxn04085	master	1	<=>		OK		<=>	
tabersonine,NADPH:oxygen oxidoreductase (16-hydroxylating)		cpd00005 + cpd00007 + cpd06139 <=> cpd00001 + cpd00006 + cpd08454	1281967907	TPNH + O2 + H+ + Tabersonine <=> H2O + TPN + 16-Hydroxytabersonine	-95.8267	1.31456	|1.14.13.73	cpd00005 + cpd00007 + cpd00067 + cpd06139 <=> cpd00001 + cpd00006 + cpd08454	rxn04086	1281967907	tabersonine,NADPH:oxygen oxidoreductase (16-hydroxylating)	master	1	=>		OK	|RWWNW:-1|RWCHdblW:1|PrimOH:1|RWCH2W:-1|HeteroAromatic:1|O2:-1|H:-1|BWCHdblW:-1|H2O:1|WRdNWRW:1|BWWCdblW:1	=>	
rxn04083		cpd02308 <=> cpd08502	1281967906	4 H+ + 4,21-Dehydrogeissoschizine <=> Stemmadenine	10000000	10000000		(4) cpd00067 + cpd02308 <=> cpd08502	rxn04083	1281967906	rxn04083	master	1	<=>		CI:-4		<=>	
rxn04084		cpd08502 <=> cpd00001 + cpd06139	1281967907	Stemmadenine => H2O + H+ + Tabersonine	10000000	10000000		cpd08502 <=> cpd00001 + cpd00067 + cpd06139	rxn04084	1281967907	rxn04084	master	1	<=>		OK		<=>	
RBP4E		cpd00808 <=> cpd00198	1281967906	L-Ribulose 5-phosphate <=> D-Xylulose5-phosphate	0	2	5.1.3.4	cpd00808 <=> cpd00198	rxn04082	1281967906	L-ribulose-5-phosphate 4-epimerase	master	1	<=>		OK		<=>	
rxn04080		cpd00005 + cpd08491 <=> cpd00006 + cpd08493	1281967906	TPNH + H+ + Cathenamine <=> TPN + Tetrahydroalstonine	-15.12	1.53229		cpd00005 + cpd00067 + cpd08491 <=> cpd00006 + cpd08493	rxn04080	1281967906	rxn04080	master	1	=>		OK	|RWWNW:-1|TWWCdblW:-1|HeteroAromatic:1|H:-1|TWWCHW:1|WRdNWRW:1	=>	
rxn04081		cpd05920 <=> cpd06136	1281967906	Ajmalicine <=> 3 H+ + Serpentine	-14.51	2.21945		cpd05920 <=> (3) cpd00067 + cpd06136	rxn04081	1281967906	rxn04081	master	1	=>		CI:4	|RWCH2W:-2|TWNWW:-1|TWWCHW:-1|RWCHdblW:2|TWWCdblW:1|HeteroAromatic:1|H:3|TWdNpWW:1	=>	
rxn04079		cpd00005 + cpd08491 <=> cpd00006 + cpd05920	1281967906	TPNH + H+ + Cathenamine <=> TPN + Ajmalicine	-15.12	1.53229		cpd00005 + cpd00067 + cpd08491 <=> cpd00006 + cpd05920	rxn04079	1281967906	rxn04079	master	1	=>		OK	|RWWNW:-1|TWWCdblW:-1|HeteroAromatic:1|H:-1|TWWCHW:1|WRdNWRW:1	=>	
rxn04078		cpd02308 <=> cpd08491	1281967906	4,21-Dehydrogeissoschizine <=> H+ + Cathenamine	-24.65	3.2792		cpd02308 <=> cpd00067 + cpd08491	rxn04078	1281967906	rxn04078	master	1	=>		OK	|TWWCHW:1|TWWCdblW:1|WdblCWW:-1|RdblWCWW:-1|WCHdblW:-2|PrimOH:-1|RWCHdblW:1|TWdNpWW:-1|CCCN:-1|H:1|TWNWW:1|RWCdblWW:1|RWOW:1	=>	
rxn04077		cpd08489 <=> cpd00001 + cpd08490	1281967906	H+ + Dialdehyde <=> H2O + 4,21-Dehydrocorynantheine aldehyde	-11.867	1.75343		cpd00067 + cpd08489 <=> cpd00001 + cpd08490	rxn04077	1281967906	rxn04077	master	1	=>		OK	|H:-1|RWCHWW:1|RWNHW:-1|RWCH2W:1|WCH2W:-1|WWCHW:-2|WCHdblO:-1|H2O:1|TWWCHW:1|RWCHdblW:1|TWdNpWW:1	=>	
rxn04076		cpd02108 <=> cpd08489	1281967906	Strictosidine aglycone <=> Dialdehyde	10.18	1.33594		cpd02108 <=> cpd08489	rxn04076	1281967906	rxn04076	master	1	<=		OK	|RWCHWW:-3|WCHdblW:1|RWCdblWW:-1|RWOW:-1|RWCHdblW:-1|WWCHW:2|WdblCWW:1|WCHdblO:1	<=	
rxn04075		cpd00003 + cpd08276 <=> cpd00004 + cpd00007 + cpd02726	1281967906	NAD + Phenanthrene => NADH + O2 + H+ + (+)-cis-3,4-Dihydrophenanthrene-3,4-diol	-71.3713	2.78419	|1.13.11.-	cpd00003 + cpd08276 <=> cpd00004 + cpd00007 + cpd00067 + cpd02726	rxn04075	1281967906	rxn04075	master	1	=>		MI:O4|HI:-4	|RWCHWW:2|PrimOH:2|WRdNWRW:-1|RWCHdblW:1|RWWNW:1|HeteroAromatic:-1|BWCHdblW:-4|BBTCdblW:-2|Hydrocarbon:-1|RWCH2W:1|O2:1|H:1|BTWWCdblW:2|CCCC:1	=>	
ethylene oxide hydrolase		cpd00001 + cpd03957 <=> cpd00992	1281967906	H2O + Ethylene oxide <=> 1,2-Ethanediol	-7.233	1.95846	|3.3.2.10	cpd00001 + cpd03957 <=> cpd00992	rxn04074	1281967906	ethylene oxide hydrolase	master	1	=>		OK	|H2O:-1|RWCH2W:-2|RWOW:-1|threemember:-1|WCH2W:2|PrimOH:2	=>	
rxn04073		cpd00033 + cpd00452 <=> cpd00010 + cpd03325	1281967906	Gly + Phenylacetyl-CoA <=> CoA + H+ + Phenylacetylglycine	-5.294	1.25997	|2.3.1.-	cpd00033 + cpd00452 <=> cpd00010 + cpd00067 + cpd03325	rxn04073	1281967906	rxn04073	master	1	=>		OK	|WNH3:-1|amide:1|WNHW:1|WSW:-1|smide:-1|WSH:1|H:1	=>	
rxn04072		cpd00229 <=> cpd00263	1281967906	Glycolaldehyde <=> Pyridoxol	2.85	1.65368		cpd00229 <=> cpd00263	rxn04072	1281967906	rxn04072	master	1	<=>		MI:C6/O1/N1|HI:-7	|WCH2W:1|WCHdblO:-1|PrimOH:2|RWCdblWW:4|RWCHdblW:1|RWdblNW:1|WCH3:1|HeteroAromatic:1	<=>	
pyridoxamine:2-oxoglutarate aminotransferase		cpd00024 + cpd00419 <=> cpd00186 + cpd00215	1281967906	2-Oxoglutarate + PM <=> D-Glutamate + Pyridoxal	-2.55	0.426032	|2.6.1.54	cpd00024 + cpd00419 <=> cpd00186 + cpd00215	rxn04071	1281967906	pyridoxamine:2-oxoglutarate aminotransferase	master	1	<=>		OK	|WketoneW:-1|WCH2W:-1|OCCO:-1|WWCHW:1|WCHdblO:1|OCCC:1	<=>	
PDXJ-RXN		cpd08289 + cpd08449 <=> (2) cpd00001 + cpd00009 + cpd00478	1281967906	1-deoxy-D-xylulose5-phosphate + 3-Amino-2-oxopropyl phosphate <=> 2 H2O + Phosphate + 2 H+ + Pyridoxine phosphate	-31.658	2.04189	|2.6.99.2	cpd08289 + cpd08449 <=> (2) cpd00001 + cpd00009 + (2) cpd00067 + cpd00478	rxn04070	1281967906	pyridoxine 5'-phosphate synthase	master	1	=>		OK	|WketoneW:-2|WWCHW:-2|WCH2W:-1|prim_phos:-1|Origin:-1|WNH3:-1|H2O:2|orthophosphate:1|H:2|RWCdblWW:4|RWCHdblW:1|RWdblNW:1|HeteroAromatic:1	=>	
rxn04069		cpd08448 <=> cpd02733	1281967906	2 H+ + 3alpha,12alpha-Dihydroxy-5beta-chol-6-enoate <=> Deoxycholate	8.5	0.766441		(2) cpd00067 + cpd08448 <=> cpd02733	rxn04069	1281967906	rxn04069	master	1	<=		CI:-2	|H:-2|RWCH2W:2|RWCHdblW:-2	<=	
Glycocholate amidohydrolase		cpd00001 + cpd01318 <=> cpd00033 + cpd00526	1281967906	H2O + Glycocholate <=> Gly + Cholate	-0.463	0.848213	|3.5.1.24	cpd00001 + cpd01318 <=> cpd00033 + cpd00526	rxn04068	1281967906	Glycocholate amidohydrolase	master	1	<=>		OK	|H2O:-1|WketoneW:-1|WCOOn:1|amide:-1|WNHW:-1|Origin:1|WNH3:1	<=>	
S-adenosyl-L-methionine:secologanate 11-O-methyltransferase		cpd00017 + cpd01344 <=> cpd00019 + cpd01275	1281967906	SAM + Secologanate <=> S-Adenosylhomocysteine + Secologanin	-5.33	2.22272	|2.1.1.50	cpd00017 + cpd01344 <=> cpd00019 + cpd01275	rxn04067	1281967906	S-adenosyl-L-methionine:secologanate 11-O-methyltransferase	master	1	<=>		OK	|WSWW:-1|WCOOn:-1|WSW:1|WOCOW:1	<=>	
loganate:oxygen oxidoreductase (ring cleaving)		cpd00005 + cpd00007 + cpd01069 <=> (2) cpd00001 + cpd00006 + cpd01344	1281967906	TPNH + O2 + H+ + Loganate <=> 2 H2O + TPN + Secologanate	-85.3737	2.27436	|1.3.3.9	cpd00005 + cpd00007 + cpd00067 + cpd01069 <=> (2) cpd00001 + cpd00006 + cpd01344	rxn04066	1281967906	loganate:oxygen oxidoreductase (ring cleaving)	master	1	=>		OK	|RWWNW:-1|RWCHdblW:1|PrimOH:-1|WCH2W:1|RWCH2W:-2|HeteroAromatic:1|O2:-1|H:-1|TWWCHW:-2|WCH3:-1|H2O:2|WRdNWRW:1|WCHdblW:1|WdblCH2:1|WCHdblO:1	=>	
7-deoxyloganate,NADPH:oxygen oxidoreductase (7a-hydroxylating)		cpd00005 + cpd00007 + cpd08447 <=> cpd00001 + cpd00006 + cpd01069	1281967906	TPNH + O2 + H+ + 7-Deoxyloganate <=> H2O + TPN + Loganate	-96.1867	1.35632	|1.14.13.74	cpd00005 + cpd00007 + cpd00067 + cpd08447 <=> cpd00001 + cpd00006 + cpd01069	rxn04065	1281967906	7-deoxyloganate,NADPH:oxygen oxidoreductase (7a-hydroxylating)	master	1	=>		OK	|RWCHWW:1|RWWNW:-1|RWCHdblW:1|PrimOH:1|RWCH2W:-2|HeteroAromatic:1|O2:-1|H:-1|H2O:1|WRdNWRW:1	=>	
xylitol:NAD oxidoreductase		cpd00003 + cpd00306 <=> cpd00004 + cpd00261	1281967906	NAD + Xylitol <=> NADH + H+ + L-Xylulose	3.81	1.6395	|1.1.1.15	cpd00003 + cpd00306 <=> cpd00004 + cpd00067 + cpd00261	rxn04064	1281967906	xylitol:NAD oxidoreductase	master	1	<=>		OK	|RWCHWW:2|RWOW:1|PrimOH:-1|WCH2W:-1|WRdNWRW:-1|RWCHdblW:-1|RWWNW:1|HeteroAromatic:-1|WWCHW:-3|RWCH2W:2|H:1|RWWCWW:1	<=>	
dithiothreitol oxidoreductase		cpd00823 + cpd01803 <=> cpd00228 + cpd03477	1281967906	Oxidized dithiothreitol + 2-Hydroxy-vitamin K <=> Dithiothreitol + Vitamin K1 oxide	-6.058	6.67557	|1.1.4.2	cpd00823 + cpd01803 <=> cpd00228 + cpd03477	rxn04063	1281967906	2-hydroxy-2-methyl-3-phytyl-2,3-dihydronaphthoquinone:oxidized-	master	1	<=>		OK	|RWSW:-2|RWCH2W:-2|RWCHWW:-3|PrimOH:-1|RWWCWW:-1|WCH2W:2|WWCHW:2|WSH:2|TWWCWW:2|RWOW:1|threemember:1	<=>	
rxn04062		cpd01456 <=> cpd08443	1281967906	Geissoschizine <=> 2 H+ + Polyneuridine aldehyde	10000000	10000000		cpd01456 <=> (2) cpd00067 + cpd08443	rxn04062	1281967906	rxn04062	master	1	<=>		CI:2		<=>	
10-deoxysarpagine,NADPH:oxygen oxidoreductase (10-hydroxylating)		cpd00005 + cpd00007 + cpd08446 <=> cpd00001 + cpd00006 + cpd06134	1281967906	TPNH + O2 + H+ + Sarpagan-17-ol <=> H2O + TPN + Sarpagine	10000000	10000000	|1.14.13.91	cpd00005 + cpd00007 + cpd00067 + cpd08446 <=> cpd00001 + cpd00006 + cpd06134	rxn04061	1281967906	10-deoxysarpagine,NADPH:oxygen oxidoreductase (10-hydroxylating)	master	1	<=>		OK		<=>	
rxn04059		cpd08444 <=> cpd08445	1281967906	16-Epivellosimine <=> Vellosimine	10000000	10000000		cpd08444 <=> cpd08445	rxn04059	1281967906	rxn04059	master	1	<=>		OK		<=>	
10-deoxysarpagine:NADP+ oxidoreductase		cpd00006 + cpd08446 <=> cpd00005 + cpd08445	1281967906	TPN + Sarpagan-17-ol <=> TPNH + H+ + Vellosimine	10000000	10000000	|1.1.1.273	cpd00006 + cpd08446 <=> cpd00005 + cpd00067 + cpd08445	rxn04060	1281967906	10-deoxysarpagine:NADP+ oxidoreductase	master	1	<=>		OK		<=>	
polyneuridine aldehyde hydrolase (decarboxylating)		cpd00001 + cpd08443 <=> cpd00011 + cpd00116 + cpd08444	1281967906	H2O + Polyneuridine aldehyde <=> CO2 + Methanol + 16-Epivellosimine	10000000	10000000	|3.1.1.78	cpd00001 + cpd08443 <=> cpd00011 + cpd00116 + cpd08444	rxn04058	1281967906	polyneuridine aldehyde hydrolase (decarboxylating)	master	1	<=>		OK		<=>	
rxn04057		cpd08490 <=> cpd02308	1281967906	4,21-Dehydrocorynantheine aldehyde <=> 4,21-Dehydrogeissoschizine	11.45	2.29119		cpd08490 <=> cpd02308	rxn04057	1281967906	rxn04057	master	1	<=		OK	|RWCHWW:-1|WdblCH2:-1|WCH3:1|RdblWCWW:1|CCCN:1	<=	
2-dehydro-D-gluconate:NADP+ 2-oxidoreductase		cpd00006 + cpd00480 <=> cpd00005 + cpd01793	1281967906	TPN + 2-Dehydro-D-gluconate <=> TPNH + H+ + 2,5-diketo-D-gluconate	3.76	1.07969	|1.1.1.274	cpd00006 + cpd00480 <=> cpd00005 + cpd00067 + cpd01793	rxn04056	1281967906	2-dehydro-D-gluconate:NADP+ 2-oxidoreductase	master	1	<=>		OK	|RWWNW:1|RWCHdblW:-1|PrimOH:-1|WRdNWRW:-1|WketoneW:1|HeteroAromatic:-1|WWCHW:-1|RWCH2W:1|H:1	<=>	
rxn04055		cpd00007 + (2) cpd01365 <=> (2) cpd00001 + (2) cpd08442	1281967906	O2 + 4 H+ + 2 5'-Oxoinosine <=> 2 H2O + 2 9-Riburonosylhypoxanthine	-184.574	1.18611	|1.1.3.28	cpd00007 + (4) cpd00067 + (2) cpd01365 <=> (2) cpd00001 + (2) cpd08442	rxn04055	1281967906	rxn04055	master	1	=>		MI:O2|CI:-6|HI:2	|O2:-1|H:-4|WCHdblO:-2|H2O:2|WCOOn:2	=>	
Nucleoside:oxygen 5'-oxidoreductase		cpd00007 + cpd00246 <=> cpd00001 + cpd08442	1281967906	O2 + Inosine <=> H2O + H+ + 9-Riburonosylhypoxanthine	-113.357	0.732056	|1.1.3.28	cpd00007 + cpd00246 <=> cpd00001 + cpd00067 + cpd08442	rxn04054	1281967906	Nucleoside:oxygen 5'-oxidoreductase	master	1	=>		OK	|O2:-1|PrimOH:-1|WCH2W:-1|H2O:1|H:1|WCOOn:1	=>	
CPC8MM		cpd08375 <=> cpd03421	1281967906	Cobalt-precorrin 8 <=> Cobyrinate	10000000	10000000	|5.4.1.2	cpd08375 <=> cpd03421	rxn04052	1281967906	precorrin-8X methylmutase	master	1	<=>		OK		<=>	
rxn04053		(2) cpd00001 + (2) cpd00002 + (2) cpd00053 + cpd03421 <=> (2) cpd00023 + cpd03914	1281967906	2 H2O + 2 ATP + 2 L-Glutamine + Cobyrinate <=> 2 GLU + Cob(II)yrinate diamide	10000000	10000000	|6.3.1.-	(2) cpd00001 + (2) cpd00002 + (2) cpd00053 + cpd03421 <=> (2) cpd00023 + cpd03914	rxn04053	1281967906	rxn04053	master	1	<=>		MI:O-28/C-20/N-10/P-6|CI:6|HI:30		<=>	
CPC6MT		(2) cpd00017 + cpd08373 <=> cpd00011 + (2) cpd00019 + cpd08375	1281967906	2 SAM + Cobalt-precorrin 6B <=> CO2 + 2 S-Adenosylhomocysteine + H+ + Cobalt-precorrin 8	10000000	10000000	|2.1.1.132	(2) cpd00017 + cpd08373 <=> cpd00011 + (2) cpd00019 + cpd00067 + cpd08375	rxn04051	1281967906	precorrin-6Y C5,15-methyltransferase (decarboxylating)	master	1	<=>		OK		<=>	
CPC6R		cpd00005 + cpd08372 <=> cpd00006 + cpd08373	1281967906	TPNH + H+ + Cobalt-precorrin 6 <=> TPN + Cobalt-precorrin 6B	10000000	10000000	|1.3.1.54	cpd00005 + cpd00067 + cpd08372 <=> cpd00006 + cpd08373	rxn04050	1281967906	precorrin-6A reductase	master	1	<=>		OK		<=>	
CPC4MT		cpd00017 + cpd08370 <=> cpd00019 + cpd08371	1281967906	SAM + Cobalt-precorrin 4 <=> S-Adenosylhomocysteine + Cobalt-precorrin 5	10000000	10000000	|2.1.1.133	cpd00017 + cpd08370 <=> cpd00019 + cpd08371	rxn04048	1281967906	cobalt-precorrin-4 methyltransferase	master	1	<=>		OK		<=>	
CPC5MT		cpd00001 + cpd00017 + cpd08371 <=> cpd00019 + cpd00071 + cpd08372	1281967906	H2O + SAM + Cobalt-precorrin 5 <=> S-Adenosylhomocysteine + 2 H+ + AALD + Cobalt-precorrin 6	10000000	10000000	|2.1.1.-	cpd00001 + cpd00017 + cpd08371 <=> cpd00019 + (2) cpd00067 + cpd00071 + cpd08372	rxn04049	1281967906	precorrin-5 C1-methyltransferase	master	1	<=>		OK		<=>	
CPC3MT		cpd00017 + cpd08369 <=> cpd00019 + cpd08370	1281967906	SAM + Cobalt-precorrin 3 <=> S-Adenosylhomocysteine + H+ + Cobalt-precorrin 4	10000000	10000000	|2.1.1.131	cpd00017 + cpd08369 <=> cpd00019 + cpd00067 + cpd08370	rxn04047	1281967906	precorrin-3B C17-methyltransferase	master	1	<=>		OK		<=>	
CPC2MT		cpd00017 + cpd08368 <=> cpd00019 + cpd08369	1281967906	SAM + Cobalt-precorrin 2 <=> S-Adenosylhomocysteine + H+ + Cobalt-precorrin 3	10000000	10000000	|2.1.1.151	cpd00017 + cpd08368 <=> cpd00019 + cpd00067 + cpd08369	rxn04046	1281967906	S-adenosyl-L-methionine:cobalt-factor-II C20-methyltransferase	master	1	<=>		OK		<=>	
ATP:deoxynucleoside 5'-phosphotransferase		cpd00002 + cpd01529 <=> cpd00008 + cpd00513	1281967906	ATP + Deoxynucleoside <=> ADP + Deoxynucleoside 5'-phosphate	-4.5	0.23673	|2.7.1.145	cpd00002 + cpd01529 <=> cpd00008 + cpd00513	rxn04044	1281967906	ATP:deoxynucleoside 5'-phosphotransferase	master	1	<=>		OK	|PrimOH:-1|mid_phos:-1|prim_phos:1	<=>	
sirohydrochlorin cobalt-lyase		cpd00149 + cpd03426 <=> cpd08368	1281967906	2 H+ + Co2+ + Sirohydrochlorin <=> Cobalt-precorrin 2	10000000	10000000	|4.99.1.3	(2) cpd00067 + cpd00149 + cpd03426 <=> cpd08368	rxn04045	1281967906	sirohydrochlorin cobalt-lyase	master	1	<=>		CI:-2		<=>	
PFK (adp)		cpd00008 + cpd00072 <=> cpd00018 + cpd00290	1281967906	ADP + Neuberg ester <=> AMP + D-Fructose1-6-bisphosphate	-4.5	0.23673	|2.7.1.146	cpd00008 + cpd00072 <=> cpd00018 + cpd00290	rxn04043	1281967906	ADP:D-fructose-6-phosphate 1-phosphotransferase	master	1	<=>		OK	|PrimOH:-1|mid_phos:-1|prim_phos:1	<=>	
GK (adp)		cpd00008 + cpd00027 <=> cpd00018 + cpd00079	1281967906	ADP + Glucose <=> AMP + Robison ester	-4.5	0.23673	|2.7.1.147	cpd00008 + cpd00027 <=> cpd00018 + cpd00079	rxn04042	1281967906	ADP:D-glucose 6-phosphotransferase	master	1	<=>		OK	|PrimOH:-1|mid_phos:-1|prim_phos:1	<=>	
MI1456PKn		cpd00002 + cpd08377 <=> cpd00008 + cpd00943	1281967906	ATP + Inositol 1,4,5,6-tetrakisphosphate <=> ADP + Inositol 1,3,4,5,6-pentakisphosphate	-4.5	0.23673	|2.7.1.151	cpd00002 + cpd08377 <=> cpd00008 + cpd00943	rxn04041	1281967906	ATP:1D-myo-inositol-1,4,5-trisphosphate 6-phosphotransferase	master	1	<=>		OK	|PrimOH:-1|mid_phos:-1|prim_phos:1	<=>	
MI145P6Kn		cpd00002 + cpd00916 <=> cpd00008 + cpd08377	1281967906	ATP + Ins(1,4,5)P3 <=> ADP + Inositol 1,4,5,6-tetrakisphosphate	-4.5	0.23673	|2.7.1.151	cpd00002 + cpd00916 <=> cpd00008 + cpd08377	rxn04040	1281967906	ATP:1D-myo-inositol-1,4,5-trisphosphate 6-phosphotransferase	master	1	<=>		OK	|PrimOH:-1|mid_phos:-1|prim_phos:1	<=>	
ATP:1D-myo-inositol-hexakisphosphate phosphotransferase		cpd00002 + cpd00885 <=> cpd00008 + cpd08050	1281967906	ATP + Phytate <=> ADP + 1-Diphosinositol pentakisphosphate	0	2	|2.7.4.21	cpd00002 + cpd00885 <=> cpd00008 + cpd08050	rxn04039	1281967906	ATP:1D-myo-inositol-hexakisphosphate phosphotransferase	master	1	<=>		OK		<=>	
2-(beta-D-glucosyl)-sn-glycerol-3-phosphate phosphohydrolase		cpd00001 + cpd07403 <=> cpd00009 + cpd08376	1281967906	H2O + 2-(beta-D-Glucosyl)-sn-glycerol 3-phosphate <=> Phosphate + H+ + 2-(beta-D-Glucosyl)-sn-glycerol	-2.317	0.735634	|3.1.3.69	cpd00001 + cpd07403 <=> cpd00009 + cpd00067 + cpd08376	rxn04038	1281967906	2-(beta-D-glucosyl)-sn-glycerol-3-phosphate phosphohydrolase	master	1	=>		OK	|H2O:-1|PrimOH:1|prim_phos:-1|orthophosphate:1|H:1	=>	
alpha-D-mannosyl-3-phosphoglycerate phosphohydrolase		cpd00001 + cpd08355 <=> cpd00009 + cpd08374	1281967906	H2O + 2-(alpha-D-Mannosyl)-3-phosphoglycerate <=> Phosphate + H+ + alpha-Mannosylglycerate	-2.317	0.735634	|3.1.3.70	cpd00001 + cpd08355 <=> cpd00009 + cpd00067 + cpd08374	rxn04037	1281967906	alpha-D-mannosyl-3-phosphoglycerate phosphohydrolase	master	1	=>		OK	|H2O:-1|prim_phos:-1|PrimOH:1|orthophosphate:1|H:1	=>	
