abbrev	abstractReaction	code	creationDate	definition	deltaG	deltaGErr	enzyme	equation	id	modificationDate	name	owner	public	reversibility	scope	status	structuralCues	thermoReversibility	transportedAtoms
MMSAD1		cpd00003 + cpd00010 + cpd00287 <=> cpd00004 + cpd00011 + cpd00086	1281967881	NAD + CoA + 2-Methyl-3-oxopropanoate <=> NADH + CO2 + Propanoyl-CoA	-7.136	1.61541	|1.2.1.27	cpd00003 + cpd00010 + cpd00287 <=> cpd00004 + cpd00011 + cpd00086	rxn00671	1281967881	2-Methyl-3-oxopropanoate:NAD+ oxidoreductase (CoA-propanoylating)	master	1	<=>		OK	|WCH2W:1|WRdNWRW:-1|RWCHdblW:-1|WketoneW:1|RWWNW:1|Origin:-1|HeteroAromatic:-1|WWCHW:-1|WSH:-1|WCOOn:-1|WCHdblO:-1|RWCH2W:1|CO2:1|WSW:1|smide:1	<=>	
PTA2r		cpd00009 + cpd00086 <=> cpd00010 + cpd01844	1281967881	Phosphate + H+ + Propanoyl-CoA <=> CoA + Propanoyl phosphate	3.69	1.22568	|2.3.1.8	cpd00009 + cpd00067 + cpd00086 <=> cpd00010 + cpd01844	rxn00670	1281967881	acetyl-CoA:phosphate acetyltransferase	master	1	<=>		OK	|orthophosphate:-1|H:-1|WketoneW:-1|WSW:-1|smide:-1|Origin:1|WSH:1|WCOOPO3:1	<=>	
ACCOAL		cpd00002 + cpd00010 + cpd00141 <=> cpd00008 + cpd00009 + cpd00086	1281967881	ATP + CoA + Propanoate <=> ADP + Phosphate + Propanoyl-CoA	-1.06	1.21342	6.2.1.13	cpd00002 + cpd00010 + cpd00141 <=> cpd00008 + cpd00009 + cpd00086	rxn00669	1281967881	Propanoate:CoA ligase (ADP-forming)	master	1	<=>		OK	|mid_phos:-1|Origin:-1|WketoneW:1|WSH:-1|WCOOn:-1|orthophosphate:1|WSW:1|smide:1	<=>	
rxn00668		cpd00005 + cpd00663 <=> cpd00006 + cpd00086	1281967881	TPNH + H+ + Acrylyl-CoA <=> TPN + Propanoyl-CoA	-15.89	1.15202	|1.3.1.-	cpd00005 + cpd00067 + cpd00663 <=> cpd00006 + cpd00086	rxn00668	1281967881	rxn00668	master	1	<=>		OK	|RWWNW:-1|RWCHdblW:1|WCH2W:1|RWCH2W:-1|OCCC:-1|HeteroAromatic:1|H:-1|WCH3:1|WCHdblW:-1|WdblCH2:-1|WRdNWRW:1	=>	
Malonyl-CoA:propionyl-CoA malonyltransfersase (cyclizing)		cpd00086 + (6) cpd01675 <=> (7) cpd00010 + (6) cpd00011 + cpd02075	1281967881	Propanoyl-CoA + 6 Methylmalonyl-CoA <=> 7 CoA + 6 CO2 + 6-Deoxyerythronolide B	10000000	10000000	|2.3.1.94	cpd00086 + (6) cpd01675 <=> (7) cpd00010 + (6) cpd00011 + cpd02075	rxn00667	1281967881	Malonyl-CoA:propionyl-CoA malonyltransfersase (cyclizing)	master	1	<=>		MI:O-1|CI:6|HI:-16		<=>	
rxn00665		cpd00085 <=> cpd03376	1281967881	beta-Alanine <=> beta-Nitropropanoate	10000000	10000000		cpd00085 <=> cpd03376	rxn00665	1281967881	rxn00665	master	1	<=>		MI:O2|CI:-1|HI:3	|WNH3:-1|WNdblOdblO:1	<=>	
rxn00666		cpd00085 <=> cpd03377	1281967881	beta-Alanine <=> 3-Aminopropiononitrile	92.6	4.92243		cpd00085 <=> cpd03377	rxn00666	1281967881	rxn00666	master	1	<=		MI:N1/O-2|CI:1	|WCOOn:-1|WtrpCW:1|WtrpN:1	<=	
rxn00663		cpd00010 + cpd00085 <=> cpd00001 + cpd01560	1281967881	CoA + H+ + beta-Alanine <=> H2O + beta-Alanyl-CoA	5.757	1.20727		cpd00010 + cpd00067 + cpd00085 <=> cpd00001 + cpd01560	rxn00663	1281967881	rxn00663	master	1	<=		OK	|WketoneW:1|WSH:-1|Origin:-1|H:-1|WCOOn:-1|H2O:1|WSW:1|smide:1	<=	
rxn00664		cpd00085 <=> cpd02333	1281967881	beta-Alanine <=> Quinolinate	-33.66	1.4889		cpd00085 <=> cpd02333	rxn00664	1281967881	rxn00664	master	1	<=>		MI:C4/O2|CI:-2|HI:4	|WCH2W:-2|WCOOn:1|WNH3:-1|RWCdblWW:2|RWCHdblW:3|RWdblNW:1|OCCC:1|OCCN:1|HeteroAromatic:1	=>	
3-Guanidinopropanoate amidinopropionase		cpd00001 + cpd01962 <=> cpd00073 + cpd00085	1281967881	H2O + 3-Guanidinopropanoate <=> Urea + beta-Alanine	-3.903	1.68444	|3.5.3.17	cpd00001 + cpd01962 <=> cpd00073 + cpd00085	rxn00662	1281967881	3-Guanidinopropanoate amidinopropionase	master	1	<=>		OK	|H2O:-1|WNHW:-1|WdblCWW:-1|WNH2:-1|WdblNH2:-1|urea:1|WNH3:1	=>	
