rxn_id	met_id	met_name	met_formula
EX_cpd00128_e0	cpd00128_e0	Adenine_e0	C5H5N5
EX_cpd00386_e0	cpd00386_e0	D-Malate_e0	C4H4O5
EX_cpd00029_e0	cpd00029_e0	Acetate_e0	C2H3O2
EX_cpd00226_e0	cpd00226_e0	HYXN_e0	C5H4N4O
EX_cpd00117_e0	cpd00117_e0	D-Alanine_e0	C3H7NO2
EX_cpd00065_e0	cpd00065_e0	L-Tryptophan_e0	C11H12N2O2
EX_cpd11578_e0	cpd11578_e0	hexanesulfonate_e0	C6H13O3S
EX_cpd03343_e0	cpd03343_e0	Phenylpropanoate_e0	C9H9O2
EX_cpd00073_e0	cpd00073_e0	Urea_e0	CH4N2O
EX_cpd00106_e0	cpd00106_e0	Fumarate_e0	C4H2O4
EX_cpd00383_e0	cpd00383_e0	Shikimate_e0	C7H9O5
EX_cpd15561_e0	cpd15561_e0	Ubiquinol-8_e0	C49H76O4
EX_cpd04098_e0	cpd04098_e0	Arsenite_e0	H2AsO3
EX_cpd00653_e0	cpd00653_e0	D-Galactonate_e0	C6H11O7
EX_cpd00322_e0	cpd00322_e0	L-Isoleucine_e0	C6H13NO2
EX_cpd08023_e0	cpd08023_e0	methanesulfonate_e0	CH3O3S
EX_cpd11596_e0	cpd11596_e0	butanesulfonate_e0	C4H9O3S
EX_cpd00042_e0	cpd00042_e0	GSH_e0	C10H16N3O6S
EX_cpd00751_e0	cpd00751_e0	L-Fucose_e0	C6H12O5
EX_cpd00012_e0	cpd00012_e0	PPi_e0	HO7P2
EX_cpd00644_e0	cpd00644_e0	PAN_e0	C9H16NO5
EX_cpd00069_e0	cpd00069_e0	L-Tyrosine_e0	C9H11NO3
EX_cpd00209_e0	cpd00209_e0	Nitrate_e0	NO3
EX_cpd11579_e0	cpd11579_e0	ethanesulfonate_e0	C2H5O3S
EX_cpd00731_e0	cpd00731_e0	Ala-Ala_e0	C6H12N2O3
EX_cpd01329_e0	cpd01329_e0	Maltohexaose_e0	C36H62O31
EX_cpd01017_e0	cpd01017_e0	Cys-Gly_e0	C5H10N2O3S
EX_cpd00214_e0	cpd00214_e0	Palmitate_e0	C16H31O2
EX_cpd00107_e0	cpd00107_e0	L-Leucine_e0	C6H13NO2
EX_cpd01092_e0	cpd01092_e0	Allantoin_e0	C4H6N4O3
